,,                                                          ALL FARMS,,,,,,
,,"A9 - Collect or direct water for storage, water spreading, water-harvesting systems, or treatment. (PICTURE)","Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.)","Design dependent - Increase nutrient plant uptake, prevent surface erosion, increase infiltration. ","Costs: (potential)
Increase cost to establish and maintain
Possible permit costs
Benefits:(potential)
Decreased costs of maintenance due to decreased erosion and sediment delivery","Typically not funded with incentive and grant programs. May not be permitted due to topography, wetlands, soils, etc. ","362 Diversion
  LINK",
,Fields,A10 - Subsurface tile drains and irrigation tailwater return systems (PICTURE),"Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria","Design dependent - Increase nutrient plant uptake, filter pollutants from runoff, prevent surface erosion, increase infiltration, reduce soil compaction. ","Costs: (potential)
Increase cost to establish and maintain
Benefits:(potential)
Increased farmable land
May provide water source longer into growing season 
 increase water quality treatment","Incentives may be available, especially if conserves/reuses water. Application requires specific topographic conditions and infrastructure.","606 and 608 Subsurface drain, main or lateral,
  LINK 
447 Irrigation tailwater return
  LINK",
,,"A11 - Land Leveling for irrigation, water, crop/pasture management (PICTURE)","Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus), 
nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria","Design dependent - Increase nutrient plant uptake, filter pollutants from runoff, prevent surface erosion, increase infiltration, reduce soil compaction. ","Costs: (potential)
Increase cost to establish
Benefits:(potential)
Increased farm and water efficiencies
Allows enhanced water quality benefits for other conservation practices ",Incentives may be available if part of other practices mentioned above. ,"464 Irrigation land leveling;
  LINK
 462 Precision land forming and smoothing
  LINK",
,Road & Ditch,A12 - Site-Specific Erosion Prevention and Control,"Sediment, 
TSS,
 pollutants bound to sediment,
 nutrients,
 bacteria.","Design and site-specific - filter pollutants from runoff, reduce streambank erosion, prevent surface erosion, increase infiltration, reduce soil compaction. ","Costs: (Potential) 
Increased time/costs to install when and where they are needed.
Benefits: (Potential)
 Decreased soil loss through erosion.
 Decrease cost to maintain drainage infrastructure due to decreased sediment load.",Incentives typically available to purchase equipment and supplies. Grant funds may be available due to increased focus on preventing erosion from all land uses. May need to hire or train workforce for efficient and knowledgeable installation.,"USDA Agronomy Technical Note 4 and 8 - Compost filter socks and blankets for erosion control
LINK
Certified Erosion and Sediment Control Lead (CESCL) training and  handbook
  LINK",
,,"A13 - Vegetate drainage ditches, install filter strips and drain to field, modify back slope allowing vegetation.","Sediment, 
TSS,
 pollutants bound to sediment,
 nutrients,
 bacteria,
dissolved pollutants.","Promote mowable vegetation in road drainage ditches, moderate back-slopes to grow vegetation, and install vegetated filter strips between road drainage and streams. Promote invasive weed control.","Costs: (Potential) 
Increased time/costs to install (back slope modification, seeding, establishment)
Increased cost to maintain (mow,spray) vegetation.
May lose part of setback on slope changes
Benefits: (Potential)
 Decrease road grading and drainage maintenance
 Decrease cost to maintain drainage infrastructure due to decreased sediment load.",County road department expense. Grants may be available to implement a new road management and monitoring program. Helps meet new DEQ mercury/sediment TMDL regulations.,"See Yamhill Co Road Dept and SWCD for example. 
  LINK",
,,"A14 - Farm road improvement: culverts, water bars, cross drains, surfacing, vegetating, filter drainage","Sediment, 
TSS,
 pollutants bound to sediment,
 nutrients,
 bacteria,
dissolved pollutants.","Manage road infrastructure to minimize surface runoff erosion of road grade and drainage ditch, size culverts and bridges to pass 100-200-yr events, and intercept direct connection between drainage ditch and creeks with filter strips and bioswales. Design culverts for fish passage.","Costs: (Potential)
Increased cost to install
Benefits: (Potential)
Decreased overall maintenance costs 
Preventing sediment and nutrient runoff",Incentives typically available for installation and/or upgrades. Grant funds may be available if preventing water quality problems or improving fish passage.,"USDA FS 1 Environmentally Sensitive Road Maintenance Practices for Dirt and Gravel Roads: https://dirtandgravel.psu.edu/wp-content/uploads/ESM_Field_Guide.pdf
NRCS 560 Access Road: https://www.nrcs.usda.gov/sites/default/files/2022-08/Access_Road_560_CPS_9_2020.pdf
 ",
,,"A15 - Heavy use area protection to stabilize ground surface that is frequently used by people, animals, or vehicles","Sediment, 
TSS,
 pollutants bound to sediment,
 nutrients,
 bacteria,
dissolved pollutants.","Harden and use drainage infrastructure (e.g., gravel, drain pipes, french drains, fabric) to stabilize high-traffic areas during wet season.","Costs: (Potential)
Increased cost to install
Benefits: (Potential)
Decreased overall maintenance costs 
Preventing sediment and nutrient runoff",Incentives may be available but may need to be part of additional practices.,"NRCS 561 Heavy use area protection: https://www.nrcs.usda.gov/sites/default/files/2022-09/Heavy_Use_Area_Protection_561_CPS_9_2020.pdf
",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,                                       CROP MANAGEMENT,,,,,,
,,,,,,,,
,Plans,Key Practices,Helps Water Quality (optional),How (Ecosystem/Ecological Benefit),Cost and Benefits,Considerations (Optional),Practices,
,,C1 - Nutrient and Pest Management (PICTURE),"Nutrients, 
pesticides,
 pH","Maximizes nutrient uptake efficiency, 
water infiltration,
 soil-water holding capacity and carbon sequestration, 
while minimizing soil compaction, nutrient and pollutant losses (leaching, volatilization). ","Costs: (Potential)
Increased time/costs for taking samples and analysis.
Benefits: (Potential)
 Improved yield and crop health, 
Decrease costs of nutrients, lime, etc. ",Funding assistance for overall farm plan and implementation may be available.,"OSU Ext 12 Fertilizing with Manure and Other Organic Amendments: https://extension.oregonstate.edu/catalog/pub/pnw-533-fertilizing-manure-other-organic-amendments
OSU Ext 8 - Westside - Nutrient Management for Pastures: Western Oregon and Western Washington: https://extension.oregonstate.edu/catalog/pub/em-9224-nutrient-management-pastures-western-oregon-western-washington
OSUExt 4 - Pastures: Stewarding a working landscape: https://extension.oregonstate.edu/catalog/em-9303-pastures-stewarding-working-landscape
NRCS 590 Nutrient management: https://www.nrcs.usda.gov/resources/guides-and-instructions/nutrient-management-ac-590-conservation-practice-standard
NRCS 595 Integrated Pest Management: https://www.nrcs.usda.gov/sites/default/files/2022-09/Pest_Management_Conservation_System_595_CPS_10_2019.pdf",
,Vegetation,C2 - Irrigation Water Management (PICTURE),"Sediment, 
TSS,
 polluntants bound to sediment,
 nitrate-nitrogen, 
bacteria.","Reduced irrigation may increase water supply that aids in temperature control,
 increases nutrient plant uptake, 
prevents surface erosion,
 and increases infiltration","Costs: (Potential)
May increase irrigation costs (including energy costs) to install and time/costs to maintain depending on current infrastructure.
Benefits: (Potential) 
 Increased crop production quantity and quality. 
Increased crop options. ",Funding assistance for overall farm plan and implementation may be available.,"USDA SARE 3 Smart Water Use on Your Farm or Ranch: https://www.sare.org/wp-content/uploads/Smart-Water-Use-on-Your-Farm-or-Ranch.pdf
NRCS 449 Irrigation Water Management: https://www.nrcs.usda.gov/resources/guides-and-instructions/irrigation-water-management-ac-449-conservation-practice-standard
NRCS 441 Microirrigation: https://www.nrcs.usda.gov/sites/default/files/2022-11/IRRIGATION.pdf
NRCS 442 Sprinkler System: https://www.nrcs.usda.gov/sites/default/files/2022-10/Sprinkler_System_442_NHCP_CPS_2021.pdf
NRCS 443 Irrigation System, Surface and Subsurface: https://www.nrcs.usda.gov/sites/default/files/2022-09/Irrigation_System_Surface_And_Subsurface_443_Overview.pdf
  LINK",
,,C3 - Cover and Conservation Crops (PICTURE),"Sediment, 
TSS,
 nutrients,
 pollutants bound to sediment,
 bacteria.
 Reduce dissolved nutrients and pollutants (e.g., nitrates). ","Minimize surface erosion and soil compaction,
 increases soil organic matter (carbon sequestration),
 soil water retention and infiltration, and nutrient uptake, and binds pollutants.
","Costs: (Potential)
Increased time/costs for planting and maintenance.
Benefits: (Potential)
 Reduce weed pressure, 
Reduce crop resistance to pesticies. ",,"USDA SARE 2 Cover Crop Economics: https://www.sare.org/resources/cover-crop-economics/
NRCS 328 Conservation crop rotation:https://www.nrcs.usda.gov/resources/guides-and-instructions/conservation-crop-rotation-ac-328-conservation-practice-standard 
NRCS 340 Cover crop: https://www.nrcs.usda.gov/resources/guides-and-instructions/cover-crop-ac-340-conservation-practice-standard
NRCS 484 Mulching: https://www.nrcs.usda.gov/sites/default/files/2022-09/Mulching_CPS_484_Oct_2017.pdf",
,,C4 - In-field Vegetative Strips (PICTURE),"Sediment, 
TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus),
 nutrient uptake (nitrogen, phosphorus, etc.),
 bacteria,
 algae growth (chlorophyll a) downstream from nutrients","Increase nutrient plant uptake, 
filter pollutants from runoff,
 prevent surface erosion,
 increase infiltration, 
reduce soil compaction, 
and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs: (Potential) 
Increased time/costs for seeding and maintenance.  
Benefits: (Potential)
Improved crop health, may increase/decrease costs of nutrients, lime, etc.",,"393 Filter strip,
  LINK
 585 Strip cropping,
  LINK 
311 Alley cropping,
  LINK 
332 Contour buffer strips,
  LINK 
422 Hedge Row Planting
  LINK",
,Tillage,C5 - Conversion of Cropland to Perennial Grass-based agriculture (PICTURE),"Sediment, 
TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus),
 nutrient uptake (nitrogen, phosphorus, etc.),
 bacteria,
 algae growth (chlorophyll a) downstream from nutrients","Increase nutrient plant uptake, 
filter pollutants from runoff, 
prevent surface erosion, 
increase infiltration,
 reduce soil compaction,
 and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ",,,"OSU Ext 17 Hay Production Resources for small farms: https://extension.oregonstate.edu/collection/hay-production-resources-small-farms
OSU Ext 16 Hay Production: https://smallfarms.oregonstate.edu/smallfarms/hay-production
NRCS 512 Pasture and hay planting: https://www.nrcs.usda.gov/sites/default/files/2022-09/Pasture_and_Hay_Planting_512_NHCP_CPS_2020.pdf 
",
,,C6 - Residue and Tillage Management (PICTURE),"Sediment,
 TSS,
 nutrients,
 pollutants bound to sediment,
 bacteria. ","Reduces soil erosion and soil compaction, increases soil  water infiltration and holding capacity. Binds pollutants. May reduce weed pressure.","Costs: (Potential)
May require specialized equipment
Benefits: (Potential)
Reduces soil erosion and compaction,
increases soil water infiltration and holding capacity.
Binds pollutants.
Reduced weed pressure.",,"USDA 5  Northwest No-Till Farming for Climate Resilience: https://www.climatehubs.usda.gov/hubs/northwest/topic/northwest-no-till-farming-climate-resilience
OSU Ext 15 Tillage and Cultivation: https://agsci.oregonstate.edu/mes/sustainable-onion-production/tillage-and-cultivation
OSU Ext 14 - Western - Using strip tillage in vegetable production systems in Western Oregon
NRCS 345 Residue and Tillage Management, Reduced Till: https://www.nrcs.usda.gov/sites/default/files/2022-09/Residue_And_Tillage_Management_Reduced_Till_345_PS_Sept_2016.pdf 
NRCS 329 No Till: https://www.nrcs.usda.gov/sites/default/files/2022-09/Residue_And_Tillage_Management_No_Till_329_CPS_0.pdf
  ",
,,C7 - Contour farming and tillage (PICTURE),"Sediment, 
TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus),
 nutrient uptake (nitrogen, phosphorus, etc.),
 bacteria,
 algae growth (chlorophyll a) downstream from nutrients","Reduces soil erosion and soil compaction,
 increases soil  water infiltration.
 May increase nutrient uptake, filter pollutants and bacteria.",,,"Western SARE 4 Contour Farming: https://western.sare.org/sare-category/crop-production/conservation-tillage/contour-farming/
NRCS 330 Contour farming: https://www.nrcs.usda.gov/sites/default/files/2022-09/Contour_Farming_330_CPS_Oct_2017.pdf
NRCS 331 Contour orchard and other perennial crops: https://www.nrcs.usda.gov/sites/default/files/2022-09/Contour_Orchard_and_Other_Perennial_Crops_331_CPS.pdf
NRCS 600 Terrace farming: https://www.nrcs.usda.gov/sites/default/files/2022-09/Contour_Orchard_and_Other_Perennial_Crops_331_CPS.pdf",
,,,,,,,,
,,,,,,,,
,,                                                               LIVESTOCK/EQUINE MANAGEMENT,,,,,,
,,,,,,,,
,Grazing ,Key Practices,Helps Water Quality (optional),How (Ecosystem/Ecological Benefit),Cost and Benefits,Considerations (Optional),Practices,
,,"L1 - Livestock exclusion of riparian/wetland vegetated areas, establish off-stream watering facilities (PICTURE)","Sediment,
 TSS,
 pollutants bound to sediment (e.g., mercury, phosphorus),
 nutrient uptake (nitrogen, phosphorus, etc.), 
bacteria, 
stream temperature, 
dissolved oxygen, 
algae growth (chlorophyll a)","Increase nutrient plant uptake, 
filter pollutants from runoff,
 reduce streambank erosion, 
prevent surface erosion, 
increase infiltration, 
reduce soil compaction, 
provide shade to reduce stream and riparian air temperature, 
increase cover and organic material for habitat,
 and sequester carbon to improve soil moisture holding capacity and reduce carbon gas emission. ","Costs: (Potential)
 Increased fencing and watering costs.
 Increased invasive weeds if vegetation not maintained. 
Potential increased wildlife conflicts
Benefits: (Potential)
Clean livestock water.
 Improved livestock health.
 Less time/cost managing livestock in challenging conditions (soil (mud), water, slope, flooding);. ",Funding assistance for installation and maintenance typically available.,"390-391 Riparian cover, buffer; 
  LINK
395 Stream habitat improvement;
  LINK
 580 Streambank protection;
  LINK
 612 Tree-shrub;
  LINK
 643-644 Restoration;
  LINK 
657 Wetland Restoration;
   LINK
 327 Conservation Cover;
  LINK 
386 Field Borders;
  LINK
 393 Filter Strips;
  LINK
 314-315 Brush, Weed Mgt;
  LINK 
512 Pasture and Hay Planting;
  LINK
 528 Prescribed Grazing;
  LINK ",
